taxon_id,taxon_name,class
NEONDREX130015,Luticola muticopsis (Van Heurck) Mann,Bacillariophyceae
NEONDREX37094,Gomphonema hebridense Gregory,Bacillariophyceae
NEONDREX52011,Pinnularia biceps Gregory,Bacillariophyceae
NEONDREX115001,Fallacia pygmaea (Kützing) Stickle et Mann,Bacillariophyceae
NEONDREX995027,Trachelomonas oblonga Lemmermann,Euglenophyceae
NEONDREX194008,Placoneis gastrum (Ehrenberg) Mereschkowsky,Bacillariophyceae
NEONDREX510023,Scenedesmus armatus (Chodat) G. M. Smith,Chlorophyceae
NEONDREX170134,Sellaphora saugerresii (Desmazieres) Wetzel et Mann,Bacillariophyceae
NEONDREX170133,Sellaphora atomoides (Grunow) Wetzel et Van de Vijver,Bacillariophyceae
NEONDREX37338,Gomphonema cymbelliclinum Reichardt et Lange-Bertalot,Bacillariophyceae
NEONDREX852007,Homoeothrix varians Geitler,Myxophyceae
NEONDREX186001,Psammothidium bioretii (Germain) Bukhtiyarova et Round,Bacillariophyceae
NEONDREX186017,Psammothidium scoticum (Flower et Jones) Bukhtiyarova et Round,Bacillariophyceae
NEONDREX442002,Microthamnion kuetzingianum Nägeli ex Kützing,Chlorophyceae
NEONDREX47060,Neidium hercynicum Mayer,Bacillariophyceae
NEONDREX819003,Chamaesiphon sp.,Myxophyceae
NEONDREX9098006,Halamphora normanii (Rabenhorst) Levkov,Bacillariophyceae
NEONDREX218002,Fistulifera saprophila (Lange-Bertalot et Bonik) Lange-Bertalot,Bacillariophyceae
NEONDREX33267,Eunotia mucophila (Lange-Bertalot et Nörpel-Schempp) Lange-Bertalot,Bacillariophyceae
NEONDREX34248,Fragilaria sp.,Bacillariophyceae
NEONDREX46095,Navicula leptostriata Jørgensen,Bacillariophyceae
NEONDREX48274,Nitzschia agnita Hustedt,Bacillariophyceae
NEONDREX48638,Nitzschia sp.,Bacillariophyceae
NEONDREX819001,Chamaesiphon incrustans Grunow,Myxophyceae
NEONDREX93383,Navicula sp.,Bacillariophyceae
NEONDREX194022,Placoneis symmetrica (Hustedt) Lange-Bertalot,Bacillariophyceae
NEONDREX327001,Cosmarium sp.,Chlorophyceae
NEONDREX1406001,Gymnodinium sp.,Dinophyceae
NEONDREX193001,"Stauroforma exiguiformis (Lange-Bertalot) Flower, Jones et Round",Bacillariophyceae
NEONDREX212006,Chamaepinnularia soehrensis (Krasske) Lange-Bertalot et Krammer,Bacillariophyceae
NEONDREX30006,Diploneis subovalis Cleve,Bacillariophyceae
NEONDREX37334,Gomphonema longilineare Reichardt,Bacillariophyceae
NEONDREX46317,Navicula canalis Patrick,Bacillariophyceae
NEONDREX52059,Pinnularia subcapitata Gregory,Bacillariophyceae
NEONDREX38004,Gyrosigma spencerii (Smith) Griffith et Henfrey,Bacillariophyceae
NEONDREX1046,Achnanthidium eutrophilum (Lange-Bertalot) Lange-Bertalot,Bacillariophyceae
NEONDREX110090,Encyonema appalachianum Potapova,Bacillariophyceae
NEONDREX12075,Caloneis sp.,Bacillariophyceae
NEONDREX213002,"Hippodonta hungarica (Grunow) Lange-Bertalot, Metzeltin et Witkowski",Bacillariophyceae
NEONDREX27025,Diatoma sp.,Bacillariophyceae
NEONDREX458000,Oocystis solitaria Wittrock,Chlorophyceae
NEONDREX327096,Cosmarium botrytis var. mediolaeve W. West,Chlorophyceae
NEONDREX48118,Nitzschia umbonata (Ehrenberg) Lange-Bertalot,Bacillariophyceae
NEONDREX48207,Nitzschia paleaeformis Hustedt,Bacillariophyceae
NEONDREX1457003,Peridinium inconspicuum Lemmermann,Dinophyceae
NEONDREX62002,Stauroneis anceps Ehrenberg,Bacillariophyceae
NEONDREX48237,Nitzschia valdecostata Lange-Bertalot et Simonsen,Bacillariophyceae
NEONDREX12046,Caloneis budensis (Grunow) Krammer,Bacillariophyceae
NEONDREX210001,Geissleria acceptata (Hustedt) Lange-Bertalot et Metzeltin,Bacillariophyceae
NEONDREX12013,Caloneis tenuis (Gregory) Krammer,Bacillariophyceae
NEONDREX58011,Rhopalodia rupestris (Smith) Krammer,Bacillariophyceae
NEONDREX875000,Merismopedia tenuissima Lemmermann,Myxophyceae
NEONDREX190005,Cymbopleura naviculiformis (Auerswald) Krammer,Bacillariophyceae
NEONDREX389004,Gloeocystis sp.,Chlorophyceae
NEONDREX1160002,Ophiocytium sp.,Tribophyceae
